Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
ACP7	FLJ16165, PAPL, PAPL1	ENSG00000183760	Acid phosphatase 7, tartrate resistant (putative)	Q6ZNF0	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ACPP	ACP-3, ACP3, PAP	ENSG00000014257	Acid phosphatase, prostate	P15309	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ACR		ENSG00000100312	Acrosin	P10323	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ADA2	ADGF, CECR1, IDGFL	ENSG00000093072	Adenosine deaminase 2	Q9NZK5	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAM9	CORD9, KIAA0021, MCMP, MDC9, Mltng	ENSG00000168615	ADAM metallopeptidase domain 9	Q13443	Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMDEC1	M12.219	ENSG00000134028	ADAM like decysin 1	O15204	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMTS10	ADAM-TS10	ENSG00000142303	ADAM metallopeptidase with thrombospondin type 1 motif 10	Q9H324	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMTS12		ENSG00000151388	ADAM metallopeptidase with thrombospondin type 1 motif 12	P58397	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMTS13	C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP	ENSG00000160323	ADAM metallopeptidase with thrombospondin type 1 motif 13	Q76LX8	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMTS14		ENSG00000138316	ADAM metallopeptidase with thrombospondin type 1 motif 14	Q8WXS8	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ADAMTS15		ENSG00000166106	ADAM metallopeptidase with thrombospondin type 1 motif 15	Q8TE58	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ADAMTS16	ADAMTS16s	ENSG00000145536	ADAM metallopeptidase with thrombospondin type 1 motif 16	Q8TE57	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ADAMTS17	FLJ16363, FLJ32769	ENSG00000140470	ADAM metallopeptidase with thrombospondin type 1 motif 17	Q8TE56	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ADAMTS18	ADAMTS21	ENSG00000140873	ADAM metallopeptidase with thrombospondin type 1 motif 18	Q8TE60	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMTS19		ENSG00000145808	ADAM metallopeptidase with thrombospondin type 1 motif 19	Q8TE59	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ADAMTS20	GON-1	ENSG00000173157	ADAM metallopeptidase with thrombospondin type 1 motif 20	P59510	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
ADAMTS3	ADAMTS-4, KIAA0366	ENSG00000156140	ADAM metallopeptidase with thrombospondin type 1 motif 3	O15072	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ADAMTS4	ADAMTS-2, ADMP-1, KIAA0688	ENSG00000158859	ADAM metallopeptidase with thrombospondin type 1 motif 4	O75173	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADAMTS5	ADAMTS11, ADMP-2	ENSG00000154736	ADAM metallopeptidase with thrombospondin type 1 motif 5	Q9UNA0	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADAMTS6	ADAM-TS6	ENSG00000049192	ADAM metallopeptidase with thrombospondin type 1 motif 6	Q9UKP5	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ADAMTS7	ADAM-TS7, DKFZp434H204	ENSG00000136378	ADAM metallopeptidase with thrombospondin type 1 motif 7	Q9UKP4	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADAMTS8	ADAM-TS8, FLJ41712, METH2	ENSG00000134917	ADAM metallopeptidase with thrombospondin type 1 motif 8	Q9UP79	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ADAMTS9	KIAA1312	ENSG00000163638	ADAM metallopeptidase with thrombospondin type 1 motif 9	Q9P2N4	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADAMTSL1	ADAMTSR1, C9orf94, FLJ35283	ENSG00000178031	ADAMTS like 1	Q8N6G6	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMTSL2	KIAA0605	ENSG00000197859	ADAMTS like 2	Q86TH1	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMTSL3	KIAA1233, punctin-2	ENSG00000156218	ADAMTS like 3	P82987	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAMTSL5	THSD6	ENSG00000185761	ADAMTS like 5		Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	
ADCK1	FLJ39600	ENSG00000063761	AarF domain containing kinase 1	Q86TW2	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ADCYAP1	PACAP	ENSG00000141433	Adenylate cyclase activating polypeptide 1	P18509	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADGRB1	BAI1	ENSG00000181790	Adhesion G protein-coupled receptor B1	O14514	Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADGRE3	EMR3	ENSG00000131355	Adhesion G protein-coupled receptor E3	Q9BY15	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ADGRE5	CD97, TM7LN1	ENSG00000123146	Adhesion G protein-coupled receptor E5	P48960	CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADGRF1	GPR110, hGPCR36, PGR19	ENSG00000153292	Adhesion G protein-coupled receptor F1	Q5T601	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADGRG1	GPR56, TM7LN4, TM7XN1	ENSG00000205336	Adhesion G protein-coupled receptor G1	Q9Y653	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADIPOQ	ACDC, ACRP30, adiponectin, AdipoQ, apM1, GBP28	ENSG00000181092	Adiponectin, C1Q and collagen domain containing	Q15848	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADM	AM	ENSG00000148926	Adrenomedullin	P35318	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADM2	AM2, FLJ21135	ENSG00000128165	Adrenomedullin 2	Q7Z4H4	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
ADM5	AM5, C19orf76	ENSG00000224420	Adrenomedullin 5 (putative)	C9JUS6	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
AEBP1	ACLP	ENSG00000106624	AE binding protein 1	Q8IUX7	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AFM	ALB2, ALBA	ENSG00000079557	Afamin	P43652	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AFP	FETA, HPAFP	ENSG00000081051	Alpha fetoprotein	P02771	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AGGF1	FLJ10283, GPATC7, GPATCH7, HSU84971, VG5Q	ENSG00000164252	Angiogenic factor with G-patch and FHA domains 1	Q8N302	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AGRP	Agrt, ART, ASIP2	ENSG00000159723	Agouti related neuropeptide	O00253	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AGT	SERPINA8	ENSG00000135744	Angiotensinogen	P01019	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AHSG	A2HS, FETUA, HSGA	ENSG00000145192	Alpha 2-HS glycoprotein	P02765	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AIMP1	EMAP-2, EMAPII, p43, SCYE1	ENSG00000164022	Aminoacyl tRNA synthetase complex interacting multifunctional protein 1	Q12904	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ALB		ENSG00000163631	Albumin	P02768	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ALKAL1	AUGB, FAM150A, UNQ9433	ENSG00000196711	ALK and LTK ligand 1	Q6UXT8	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ALKAL2	AUGA, FAM150B	ENSG00000189292	ALK and LTK ligand 2	Q6UX46	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AMBN		ENSG00000178522	Ameloblastin	Q9NP70	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AMBP	EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI	ENSG00000106927	Alpha-1-microglobulin/bikunin precursor	P02760	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AMELX	AIH1, AMG	ENSG00000125363	Amelogenin, X-linked	Q99217	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AMELY	AMGL	ENSG00000099721	Amelogenin, Y-linked	Q99218	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
AMH	MIS	ENSG00000104899	Anti-Mullerian hormone	P03971	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AMTN	RSTI689, UNQ689	ENSG00000187689	Amelotin	Q6UX39	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AMY1A	AMY1	ENSG00000237763	Amylase, alpha 1A (salivary)	P04745	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AMY1B	AMY1	ENSG00000174876	Amylase, alpha 1B (salivary)	P04745	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AMY1C	AMY1	ENSG00000187733	Amylase, alpha 1C (salivary)	P04745	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AMY2A	AMY2	ENSG00000243480	Amylase, alpha 2A (pancreatic)	P04746	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AMY2B	AMY2	ENSG00000240038	Amylase, alpha 2B (pancreatic)	P19961	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANG	RAA1, RNASE5	ENSG00000214274	Angiogenin	P03950	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ANGPT1	Ang1, KIAA0003	ENSG00000154188	Angiopoietin 1	Q15389	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANGPT2	Ang2	ENSG00000091879	Angiopoietin 2	O15123	Cancer-related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANGPT4		ENSG00000101280	Angiopoietin 4	Q9Y264	Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANGPTL1	ANG3, ANGPT3, AngY, ARP1	ENSG00000116194	Angiopoietin like 1	O95841	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ANGPTL2	ARP2, HARP	ENSG00000136859	Angiopoietin like 2	Q9UKU9	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ANGPTL3	ANGPT5	ENSG00000132855	Angiopoietin like 3	Q9Y5C1	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANGPTL4	ARP4, FIAF, HFARP, NL2, PGAR, pp1158	ENSG00000167772	Angiopoietin like 4	Q9BY76	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANGPTL5		ENSG00000187151	Angiopoietin like 5	Q86XS5	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANGPTL6	AGF, ARP5	ENSG00000130812	Angiopoietin like 6	Q8NI99	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ANGPTL7	AngX, CDT6	ENSG00000171819	Angiopoietin like 7	O43827	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ANGPTL8	C19orf80, RIFL, TD26	ENSG00000130173	Angiopoietin like 8	Q6UXH0	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ANKDD1A	FLJ25870	ENSG00000166839	Ankyrin repeat and death domain containing 1A	Q495B1	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ANOS1	ADMLX, KAL, KAL1, KALIG-1, WFDC19	ENSG00000011201	Anosmin 1	P23352	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AOAH		ENSG00000136250	Acyloxyacyl hydrolase	P28039	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AOC1	ABP1, DAO	ENSG00000002726	Amine oxidase, copper containing 1	P19801	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AOC3	HPAO, VAP-1, VAP1	ENSG00000131471	Amine oxidase, copper containing 3	Q16853	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AP000790.4		ENSG00000285010			Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
AP002347.1		ENSG00000285231			Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
APCS	MGC88159, PTX2, SAP	ENSG00000132703	Amyloid P component, serum	P02743	Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
APELA	ELA, Ende, tdl	ENSG00000248329	Apelin receptor early endogenous ligand	P0DMC3	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
APLN	apelin, XNPEP2	ENSG00000171388	Apelin	Q9ULZ1	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
APOA1		ENSG00000118137	Apolipoprotein A1	P02647	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOA2		ENSG00000158874	Apolipoprotein A2	P02652	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOA4		ENSG00000110244	Apolipoprotein A4	P06727	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOA5	APOA-V, RAP3	ENSG00000110243	Apolipoprotein A5	Q6Q788	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
APOB		ENSG00000084674	Apolipoprotein B	P04114	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOC1		ENSG00000130208	Apolipoprotein C1	P02654	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOC2		ENSG00000234906	Apolipoprotein C2	P02655	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOC3		ENSG00000110245	Apolipoprotein C3	P02656	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOC4		ENSG00000267467	Apolipoprotein C4	P55056	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
APOE	AD2	ENSG00000130203	Apolipoprotein E	P02649	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOF		ENSG00000175336	Apolipoprotein F	Q13790	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
APOH	B2G1, BG	ENSG00000091583	Apolipoprotein H	P02749	Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOL1	APOL	ENSG00000100342	Apolipoprotein L1	O14791	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOL4	APOLIV	ENSG00000100336	Apolipoprotein L4	Q9BPW4	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
APOM	ApoM, G3a, NG20	ENSG00000204444	Apolipoprotein M	O95445	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APOO	FAM121B, MGC4825, Mic23, MIC26, My025	ENSG00000184831	Apolipoprotein O	Q9BUR5	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARSF		ENSG00000062096	Arylsulfatase F	P54793	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ARSI	FLJ16069, SPG66	ENSG00000183876	Arylsulfatase family member I	Q5FYB1	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ARSJ	FLJ23548	ENSG00000180801	Arylsulfatase family member J	Q5FYB0	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ARSK	DKFZp313G1735, TSULF	ENSG00000164291	Arylsulfatase family member K	Q6UWY0	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ART4	CD297, DO, DOK1	ENSG00000111339	ADP-ribosyltransferase 4 (Dombrock blood group)	Q93070	Blood group antigen proteins, CD markers, Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ART5		ENSG00000167311	ADP-ribosyltransferase 5	Q96L15	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ARTN	ENOVIN, EVN, NBN	ENSG00000117407	Artemin	Q5T4W7	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ASIP	AGTIL, ASP	ENSG00000101440	Agouti signaling protein	P42127	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ASPN	FLJ20129, PLAP-1, SLRR1C	ENSG00000106819	Asporin	Q9BXN1	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ASTL	ovastacin, SAS1B	ENSG00000188886	Astacin like metalloendopeptidase	Q6HA08	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ATRN	DPPT-L, MGCA	ENSG00000088812	Attractin	O75882	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AVP	ADH, ARVP	ENSG00000101200	Arginine vasopressin	P01185	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AZGP1	ZA2G, ZAG	ENSG00000160862	Alpha-2-glycoprotein 1, zinc-binding	P25311	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AZU1	AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC	ENSG00000172232	Azurocidin 1	P20160	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
B3GAT1	CD57, GlcAT-P, HNK-1, LEU7, NK-1	ENSG00000109956	Beta-1,3-glucuronyltransferase 1	Q9P2W7	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BCAN	BEHAB, CSPG7, MGC13038	ENSG00000132692	Brevican	Q96GW7	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BCHE	CHE1, CHE2, E1	ENSG00000114200	Butyrylcholinesterase	P06276	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BDNF		ENSG00000176697	Brain derived neurotrophic factor	P23560	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BGLAP	OCN	ENSG00000242252	Bone gamma-carboxyglutamate protein	P02818	FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BGN	DSPG1, SLRR1A	ENSG00000182492	Biglycan	P21810	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BMP1	PCOLC	ENSG00000168487	Bone morphogenetic protein 1	P13497	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BMP10		ENSG00000163217	Bone morphogenetic protein 10	O95393	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BMP15	GDF9B	ENSG00000130385	Bone morphogenetic protein 15	O95972	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BMP2	BMP2A	ENSG00000125845	Bone morphogenetic protein 2	P12643	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BMP3		ENSG00000152785	Bone morphogenetic protein 3	P12645	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BMP4	BMP2B	ENSG00000125378	Bone morphogenetic protein 4	P12644	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
